# 更新时间: 2025-11-22 18:41:43（北京时间）

央视频道,#genre#
CCTV-1综合,http://112.87.111.111:4000/udp/239.49.8.129:6000$江苏电信
CCTV-1综合,http://112.87.111.111:4000/udp/239.49.1.1:6000$江苏电信
CCTV-1综合,http://144.255.18.234:6688/udp/239.21.1.120:5002$山东电信
CCTV-1综合,http://119.4.35.184:4022/udp/239.93.0.184:5140$四川电信
CCTV-1综合,http://116.233.22.3:4022/udp/233.18.204.52:5140$上海电信
CCTV-1综合,http://116.233.22.3:4022/udp/233.18.204.168:5140$上海电信
CCTV-1综合,http://116.233.22.3:4022/udp/239.45.3.51:5140$上海电信
CCTV-1综合,http://116.233.22.3:4022/udp/239.45.3.88:5140$上海电信
CCTV-1综合,http://116.233.22.3:4022/udp/239.45.3.145:5140$上海电信
CCTV-1综合,http://121.225.176.127:10001/udp/239.49.8.129:6000$江苏电信
CCTV-1综合,http://121.225.176.127:10001/udp/239.49.1.1:6000$江苏电信
CCTV-1综合,http://114.226.72.211:8095/udp/239.49.8.129:6000$江苏电信
CCTV-1综合,http://114.226.72.211:8095/udp/239.49.1.1:6000$江苏电信
CCTV-2财经,http://112.87.111.111:4000/udp/239.49.8.130:6000$江苏电信
CCTV-2财经,http://112.87.111.111:4000/udp/239.49.1.2:6000$江苏电信
CCTV-2财经,http://144.255.18.234:6688/udp/239.21.1.151:5002$山东电信
CCTV-2财经,http://119.4.35.184:4022/udp/239.93.1.23:6000$四川电信
CCTV-2财经,http://116.233.22.3:4022/udp/233.18.204.68:5140$上海电信
CCTV-2财经,http://116.233.22.3:4022/udp/239.45.0.1:5140$上海电信
CCTV-2财经,http://116.233.22.3:4022/udp/239.45.3.208:5140$上海电信
CCTV-2财经,http://121.225.176.127:10001/udp/239.49.8.130:6000$江苏电信
CCTV-2财经,http://121.225.176.127:10001/udp/239.49.1.2:6000$江苏电信
CCTV-2财经,http://114.226.72.211:8095/udp/239.49.8.130:6000$江苏电信
CCTV-2财经,http://114.226.72.211:8095/udp/239.49.1.2:6000$江苏电信
CCTV-3综艺,http://112.87.111.111:4000/udp/239.49.9.31:6000$江苏电信
CCTV-3综艺,http://112.87.111.111:4000/udp/239.49.1.3:6000$江苏电信
CCTV-3综艺,http://144.255.18.234:6688/udp/239.21.2.45:5002$山东电信
CCTV-3综艺,http://119.4.35.184:4022/udp/239.93.0.11:5140$四川电信
CCTV-3综艺,http://116.233.22.3:4022/udp/233.18.204.69:5140$上海电信
CCTV-3综艺,http://116.233.22.3:4022/udp/239.45.1.68:5140$上海电信
CCTV-3综艺,http://121.225.176.127:10001/udp/239.49.9.31:6000$江苏电信
CCTV-3综艺,http://121.225.176.127:10001/udp/239.49.1.3:6000$江苏电信
CCTV-3综艺,http://114.226.72.211:8095/udp/239.49.9.31:6000$江苏电信
CCTV-3综艺,http://114.226.72.211:8095/udp/239.49.1.3:6000$江苏电信
CCTV-4中文国际,http://112.87.111.111:4000/udp/239.49.8.131:6000$江苏电信
CCTV-4中文国际,http://112.87.111.111:4000/udp/239.49.1.4:6000$江苏电信
CCTV-4中文国际,http://144.255.18.234:6688/udp/239.21.1.154:5002$山东电信
CCTV-4中文国际,http://119.4.35.184:4022/udp/239.94.0.4:5140$四川电信
CCTV-4中文国际,http://116.233.22.3:4022/udp/233.18.204.70:5140$上海电信
CCTV-4中文国际,http://116.233.22.3:4022/udp/239.45.0.2:5140$上海电信
CCTV-4中文国际,http://121.225.176.127:10001/udp/239.49.8.131:6000$江苏电信
CCTV-4中文国际,http://121.225.176.127:10001/udp/239.49.1.4:6000$江苏电信
CCTV-4中文国际,http://114.226.72.211:8095/udp/239.49.8.131:6000$江苏电信
CCTV-4中文国际,http://114.226.72.211:8095/udp/239.49.1.4:6000$江苏电信
CCTV-5体育,http://112.87.111.111:4000/udp/239.49.9.32:6000$江苏电信
CCTV-5体育,http://112.87.111.111:4000/udp/239.49.1.5:6000$江苏电信
CCTV-5体育,http://144.255.18.234:6688/udp/239.21.2.46:5002$山东电信
CCTV-5体育,http://119.4.35.184:4022/udp/239.93.0.12:5140$四川电信
CCTV-5体育,http://116.233.22.3:4022/udp/233.18.204.71:5140$上海电信
CCTV-5体育,http://116.233.22.3:4022/udp/239.45.1.69:5140$上海电信
CCTV-5体育,http://121.225.176.127:10001/udp/239.49.9.32:6000$江苏电信
